scale,env,tau_hat,se_tau,rho,median_abs_error,median_se,pass,lambda1,correlation
1.0,1,1.5777900260841444,0.10659549824903115,0.6946647525314003,1.1854588418000072,0.099130333705214,True,,
1.0,2,1.8181740583542314,0.09492845507446833,1.0145776214151767,1.1854588418000072,0.099130333705214,True,,
1.0,3,2.0927770889993855,0.09383275678183162,1.7196486645616897,1.1854588418000072,0.099130333705214,True,,
1.0,4,1.7622928512330913,0.09775539193193163,1.3528041102225998,1.1854588418000072,0.099130333705214,True,,
1.0,5,1.921007310159171,0.10718114702699884,1.1305840913629552,1.1854588418000072,0.099130333705214,True,,
1.0,6,1.3019160741858151,0.12337899882632597,0.35276703170279666,1.1854588418000072,0.099130333705214,True,,
1.0,7,0.9797672249953014,0.10747181650134356,0.24081498477103236,1.1854588418000072,0.099130333705214,True,,
1.0,8,1.5674025289790567,0.11340015697966781,0.46355120376200576,1.1854588418000072,0.099130333705214,True,,
1.0,9,2.0732526007914265,0.08811301447722641,1.9048407999836914,1.1854588418000072,0.099130333705214,True,,
1.0,10,2.0824870983455863,0.09414018926065257,1.8020780203087732,1.1854588418000072,0.099130333705214,True,,
1.0,11,1.5777317670332092,0.10897002828964891,0.5878394742983819,1.1854588418000072,0.099130333705214,True,,
1.0,12,1.9172904518586151,0.10666030180180815,1.1057698840944903,1.1854588418000072,0.099130333705214,True,,
1.0,13,2.0276985623213126,0.099130333705214,1.154438770564916,1.1854588418000072,0.099130333705214,True,,
1.0,14,2.1355980439538462,0.09717186968533041,1.5955877998193515,1.1854588418000072,0.099130333705214,True,,
1.0,15,1.7992622162784189,0.10847418584441146,1.214631817584059,1.1854588418000072,0.099130333705214,True,,
1.0,16,1.9665782739375206,0.09215741871359036,1.3684424368679595,1.1854588418000072,0.099130333705214,True,,
1.0,17,1.3834547110052053,0.11126862975839694,0.32521523820243714,1.1854588418000072,0.099130333705214,True,,
1.0,18,1.1357941844481612,0.11306047320023148,0.1862982158015849,1.1854588418000072,0.099130333705214,True,,
1.0,19,1.1398749733129714,0.11644592176229841,0.30576355080198736,1.1854588418000072,0.099130333705214,True,,
1.0,20,2.0589964048171097,0.08826868065517013,1.5334032577508954,1.1854588418000072,0.099130333705214,True,,
1.0,21,2.1593454985951057,0.09264469759756383,1.9365521197462459,1.1854588418000072,0.099130333705214,True,,
1.0,22,2.0579921002428487,0.0945734359640162,1.1167250953348395,1.1854588418000072,0.099130333705214,True,,
1.0,23,1.6355592721438186,0.10454153602059872,0.6187309990563026,1.1854588418000072,0.099130333705214,True,,
1.0,24,2.0268897136679294,0.09820388372354509,1.6889981268316279,1.1854588418000072,0.099130333705214,True,,
1.0,25,1.9435015749564712,0.09734112006842749,1.1585428973897605,1.1854588418000072,0.099130333705214,True,,
,,,,,,,False,0.01,0.38319727911598034
,,,,,,,True,0.001,0.9998984945969449
,,,,,,,True,0.0001,0.9999975375564518
