seed,m_psi,m_dauroc,fit_seconds,provenance
2000,0.10676691729323308,0.75,25.344051433999994,refit
2001,-0.03909774436090225,0.84,15.071125741000287,refit
2002,0.6360902255639098,0.9500000000000001,15.336850305997359,refit
2003,0.8075187969924811,0.95,14.88515175000066,refit
2004,-0.10225563909774435,0.5299999999999999,15.37807525199969,refit
2005,0.5203007518796992,0.66,15.245028291999915,refit
2006,0.4015037593984962,0.73,14.773261955997441,refit
2007,0.43909774436090226,0.7100000000000001,14.779568017998827,refit
2008,0.1969924812030075,0.51,15.295601858000737,refit
2009,-0.19248120300751878,0.53,15.247147519999999,refit
2010,0.8466165413533834,0.9400000000000001,15.707750359000784,refit
2011,0.25864661654135335,0.63,15.791187744998751,refit
2012,0.4842105263157894,0.6000000000000001,15.2369929460001,refit
2013,-0.2902255639097744,0.64,15.165064978998998,refit
2014,0.6827067669172932,1.0,15.262225714999659,refit
2015,0.7353383458646616,0.8899999999999999,15.450011029999587,refit
2016,0.40751879699248117,0.8700000000000001,15.259582506998413,refit
2017,0.39999999999999997,0.75,16.028052653000486,refit
2018,0.4541353383458646,0.87,15.809788187998493,refit
2019,0.312781954887218,0.73,15.435904409001523,refit
2020,0.42556390977443603,0.7,15.462317525001708,refit
2021,0.5789473684210527,0.8,15.460446637000132,refit
2022,0.7428571428571428,0.9700000000000001,15.394327169000462,refit
2023,-0.08872180451127819,0.8999999999999999,15.701641929001198,refit
2024,0.6345864661654135,0.91,15.850071814002149,refit
2025,-0.1894736842105263,0.47,15.26623533699967,refit
2026,0.4030075187969925,0.67,15.117435741998634,refit
2027,0.003007518796992481,0.8599999999999999,15.319770281999809,refit
2028,-0.006015037593984962,0.6799999999999999,15.809210706000158,refit
2029,0.07368421052631578,0.77,14.98508690699964,refit
